RID,datetime,idn,carrier,date,connection,arrival,delay_in_min,name
nn00843745,06-05-22 7:30,59808,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Lębork - Gdynia Główna,7:57,10,Rumia
ci40070375,06-05-22 7:30,852304,POLREGIO Sp. z o.o.,06-05-22,Słupsk - Gdynia Główna,8:023:00 AM,0,Rumia
ci40070367,06-05-22 7:30,957235,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,8:239:00 AM,0,Rumia
tx2022oosa,06-05-22 7:30,853509/8  STAŃCZYK,PKP Intercity,06-05-22,Szczecin Główny - Olsztyn Główny,9:03,8,Rumia
pr71361218,06-05-22 7:30,5835023/3  ŻUŁAWY,PKP Intercity,06-05-22,Olsztyn Główny - Szczecin Główny,9:06,0,Rumia
nn00843652,06-05-22 7:30,853507/6  GRYF,PKP Intercity,06-05-22,Szczecin Główny - Olsztyn Główny,350:56:00 AM,24,Rumia
ci40070351,06-05-22 7:30,3583505/4  RYBAK,PKP Intercity,06-05-22,Białystok - Szczecin Główny,35:350:00 PM,0,Rumia
nc73763306,06-05-22 7:30,35835355/4  POBRZEŻE,PKP Intercity,06-05-22,Łódź Fabryczna - Kołobrzeg,23:54:00 PM,21,Rumia
nn00843744,06-05-22 7:30,957235,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:34,10,Gdańsk Stocznia
av91647446,06-05-22 7:30,597356,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,7:39,0,Gdańsk Stocznia
ci40070335,06-05-22 7:30,95409,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Gdynia Stocznia-Uniwersytet Morski,7:44,0,Gdańsk Stocznia
ak0229k3gwbx,06-05-22 7:30,59606,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdynia Główna - Gdańsk Śródmieście,7:49,11,Gdańsk Stocznia
ci40070327,06-05-22 7:30,59806,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Lębork - Gdańsk Śródmieście,7:59,0,Gdańsk Stocznia
nn00843743,06-05-22 7:30,597358,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,8:09,0,Gdańsk Stocznia
ak0229k33skt,06-05-22 7:30,597234,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,8:239:00 AM,10,Gdańsk Stocznia
nn00843728,06-05-22 7:30,597236,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,8:423:00 AM,0,Gdańsk Stocznia
tx2022ooqm,06-05-22 7:30,597230,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdynia Główna,7:34,0,Gdynia Chylonia
ci40070319,06-05-22 7:30,55867,POLREGIO Sp. z o.o.,06-05-22,Pruszcz Gdański - Gdynia Chylonia,7:34,21,Gdynia Chylonia
nc73763301,06-05-22 7:30,5972323,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdynia Główna,7:435:00 AM,0,Gdynia Chylonia
av91647421,06-05-22 7:30,9572335,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,7:46,23,Gdynia Chylonia
tx2022ooqf,06-05-22 7:30,597234,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,7:47,0,Gdynia Chylonia
ak0229k2wm50,06-05-22 7:30,5572335,POLREGIO Sp. z o.o.,06-05-22,Laskowice Pomorskie - Gdynia Chylonia,7:48,0,Gdynia Chylonia
ok2022oopu,06-05-22 7:30,90406,POLREGIO Sp. z o.o.,06-05-22,Hel - Gdynia Główna,7:50,30,Gdynia Chylonia
nc73763296,06-05-22 7:30,597236,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Wejherowo - Gdańsk Śródmieście,7:59,0,Gdynia Chylonia
nc71128594,06-05-22 7:30,59808,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Lębork - Gdynia Główna,8:06,23,Gdynia Chylonia
nc73763286,06-05-22 7:30,506238/9  ,POLREGIO Sp. z o.o.,06-05-22,Elbląg - Gdynia Chylonia,8:06,99,Gdynia Chylonia
hv73089122,06-05-22 7:30,852304,POLREGIO Sp. z o.o.,06-05-22,Słupsk - Gdynia Główna,8:3535:00 AM,0,Gdynia Chylonia
pr71361213,06-05-22 7:30,957235,PKP SKM w Trójmieście Sp. z o.o.,06-05-22,Gdańsk Śródmieście - Wejherowo,8:359:00 AM,0,Gdynia Chylonia
ci40070311,06-05-22 7:30,55587,POLREGIO Sp. z o.o.,06-05-22,Smętowo - Gdynia Chylonia,8:34,31,Gdynia Chylonia
